Major,Subject
MAJ08437,22320
MAJ08437,22321
MAJ08437,22420
MAJ08437,79014
MAJ08437,22522
MAJ08437,79017
MAJ08437,22421
MAJ08437,22319
MAJ09401,STM90559
MAJ09401,STM90558
MAJ09209,23566
MAJ09209,23567
MAJ09209,23568
MAJ09209,23571
MAJ09209,23580
MAJ09209,23005
MAJ09209,26600
MAJ09209,23569
MAJ09209,23504
MAJ09209,23505
MAJ09209,23570
MAJ09209,23509
MAJ09209,23004
MAJ09209,23021
MAJ09209,21644
MAJ09209,23002
MAJ09209,23022
MAJ09209,23508
MAJ09209,23506
MAJ09209,23507
MAJ08440,25556
MAJ08440,25624
MAJ08440,25503
MAJ08440,25410
MAJ08440,25557
MAJ08440,79014
MAJ08440,25579
MAJ08440,25999
MAJ08440,26600
MAJ08440,25574
MAJ08440,25620
MAJ08440,25602
MAJ08440,25575
MAJ08440,21644
MAJ08440,25500
MAJ08440,23507
MAJ08446,21555
MAJ08446,21036
MAJ08446,21407
MAJ08446,21037
MAJ08446,21440
MAJ08446,21512
MAJ08446,21505
MAJ08446,26600
MAJ08446,21510
MAJ08446,21644
MAJ02041,31061
MAJ02041,31266
MAJ02041,48023
MAJ02041,31269
MAJ02041,41092
MAJ02041,31245
MAJ02041,31247
MAJ02041,41900
MAJ02041,48730
MAJ02041,31251
MAJ02041,31253
MAJ02041,31260
MAJ02041,31257
MAJ02041,31258
MAJ02041,31276
MAJ02041,48024
MAJ02041,31277
MAJ02041,48433
MAJ02041,31282
MAJ02041,31268
MAJ08442,21514
MAJ08442,21510
MAJ08442,21591
MAJ08442,24220
MAJ08442,21511
MAJ08442,21506
MAJ08442,26600
MAJ08442,22240
MAJ08442,21595
MAJ08442,21555
MAJ08442,21644
MAJ08442,21440
MAJ08438,21510
MAJ08438,21512
MAJ08438,21511
MAJ08438,21440
MAJ08438,21513
MAJ08438,21504
MAJ08438,21999
MAJ08438,26600
MAJ08438,21227
MAJ08438,21595
MAJ08438,21555
MAJ08438,21644
MAJ08438,21228
MAJ08438,21591
MAJ08441,24202
MAJ08441,24309
MAJ08441,24210
MAJ08441,24415
MAJ08441,24100
MAJ08441,24211
MAJ08441,24999
MAJ08441,26600
MAJ08441,24205
MAJ08441,24104
MAJ08441,24212
MAJ08441,24220
MAJ08441,21644
MAJ08441,24331
MAJ08441,24222
MAJ08441,24224
MAJ08441,24223
MAJ08441,24306
MAJ08981,24202
MAJ08981,24210
MAJ08981,24309
MAJ08981,24101
MAJ08981,24510
MAJ08981,24211
MAJ08981,26600
MAJ08981,52662
MAJ08981,24104
MAJ08981,21644
MAJ08981,24207
MAJ08981,52663
MAJ09402,23566
MAJ09402,23506
MAJ09402,23567
MAJ09402,23568
MAJ09402,23571
MAJ09402,23580
MAJ09402,23005
MAJ09402,26600
MAJ09402,23569
MAJ09402,23504
MAJ09402,23505
MAJ09402,23570
MAJ09402,23509
MAJ09402,23004
MAJ09402,23021
MAJ09402,21644
MAJ09402,23002
MAJ09402,23022
MAJ09402,23508
MAJ09402,23507
MAJ08060,25624
MAJ08060,25556
MAJ08060,25503
MAJ08060,25557
MAJ08060,25410
MAJ08060,79014
MAJ08060,25579
MAJ08060,25999
MAJ08060,26600
MAJ08060,25574
MAJ08060,25620
MAJ08060,25602
MAJ08060,25575
MAJ08060,21644
MAJ08060,25500
MAJ08060,23507
MAJ08046,21440
MAJ08046,21227
MAJ08046,21510
MAJ08046,21511
MAJ08046,21512
MAJ08046,21513
MAJ08046,21504
MAJ08046,21228
MAJ08046,21999
MAJ08046,26600
MAJ08046,21643
MAJ08046,21595
MAJ08046,21555
MAJ08046,21644
MAJ08046,21591
MAJ08063,24202
MAJ08063,24309
MAJ08063,24210
MAJ08063,24415
MAJ08063,24331
MAJ08063,24222
MAJ08063,24223
MAJ08063,24224
MAJ08063,24100
MAJ08063,24510
MAJ08063,24211
MAJ08063,24999
MAJ08063,26600
MAJ08063,24205
MAJ08063,24104
MAJ08063,24212
MAJ08063,24220
MAJ08063,21644
MAJ08063,24306
MAJ08993,22320
MAJ08993,22321
MAJ08993,22420
MAJ08993,79014
MAJ08993,22522
MAJ08993,79017
MAJ08993,22421
MAJ08993,22319
MAJ08993,26600
MAJ08993,22016
MAJ08993,22430
MAJ08993,22573
MAJ08993,22431
MAJ08993,21644
MAJ08975,21637
MAJ08975,21639
MAJ08975,21640
MAJ08975,21650
MAJ08975,21653
MAJ08975,21664
MAJ08975,21638
MAJ08975,26600
MAJ08975,21699
MAJ08976,21655
MAJ08976,21658
MAJ08976,21646
MAJ08976,21657
MAJ08976,21656
MAJ08976,21649
MAJ08976,21635
MAJ08976,26600
MAJ08976,21699
MAJ03473,41160
MAJ03473,48023
MAJ03473,48510
MAJ03473,41099
MAJ03473,91161
MAJ03473,91400
MAJ03473,65111
MAJ03473,91148
MAJ03473,31061
MAJ03473,31250
MAJ03473,42722
MAJ03473,42724
MAJ03473,42026
MAJ03473,26101
MAJ03473,42001
MAJ03473,49261
MAJ03473,41161
MAJ03473,41029
MAJ03473,41030
MAJ03473,41162
MAJ03473,41163
MAJ03473,43021
MAJ03473,43022
MAJ03025,48310
MAJ03025,48321
MAJ03025,60101
MAJ03025,48331
MAJ03025,48330
MAJ03025,48641
MAJ03025,48349
MAJ03025,48340
MAJ03025,48352
MAJ03025,48353
MAJ03025,48350
MAJ03025,48366
MAJ03025,48389
MAJ03025,48370
MAJ03025,48221
MAJ03025,41029
MAJ03025,41030
MAJ03025,48360
MAJ03025,48362
MAJ03025,48320
MAJ03517,41082
MAJ03517,41091
MAJ03517,41029
MAJ03517,41030
MAJ03517,STM91184
MAJ03517,41039
MAJ03517,31250
MAJ03517,41092
MAJ03517,31271
MAJ03517,31005
MAJ03517,41001
MAJ03517,48730
MAJ03517,CBK92152
MAJ03028,STM91775
MAJ03028,STM91774
MAJ03028,CBK91781
MAJ03028,41029
MAJ03028,41030
MAJ03028,41088
MAJ03030,48610
MAJ03030,41054
MAJ03030,41053
MAJ03030,41099
MAJ03030,41056
MAJ03030,41057
MAJ03030,41058
MAJ03030,43014
MAJ03030,43017
MAJ03030,43015
MAJ03030,43018
MAJ03030,43016
MAJ03030,41059
MAJ03030,41060
MAJ03030,41066
MAJ03030,41067
MAJ03030,43019
MAJ03030,41029
MAJ03030,48221
MAJ03030,41030
MAJ03505,48610
MAJ03505,41054
MAJ03505,41053
MAJ03505,41099
MAJ03505,41056
MAJ03505,48622
MAJ03505,41058
MAJ03505,41012
MAJ03505,41014
MAJ03505,41013
MAJ03505,41059
MAJ03505,41070
MAJ03505,41068
MAJ03505,41069
MAJ03505,43019
MAJ03505,41029
MAJ03505,41039
MAJ03505,41030
MAJ03505,41302
MAJ03505,41118
MAJ03522,48024
MAJ03522,31269
MAJ03522,41039
MAJ03522,31251
MAJ03522,31271
MAJ03522,31282
MAJ03522,48433
MAJ03522,31257
MAJ03522,41029
MAJ03522,41030
MAJ03522,STM91188
MAJ03522,SMJ10157
MAJ03522,SMJ10088
MAJ03522,SMJ03067
MAJ03522,CBK91234
MAJ03522,SMJ02066
MAJ03522,SMJ02065
MAJ03522,SMJ02067
MAJ03541,48221
MAJ03541,48430
MAJ03541,41039
MAJ03541,48023
MAJ03541,48210
MAJ03541,41029
MAJ03541,41030
MAJ03541,CBK91969
MAJ03541,CBK91970
MAJ03525,STM91775
MAJ03525,STM91777
MAJ03525,STM91776
MAJ03525,CBK92204
MAJ03525,41029
MAJ03525,41030
MAJ03525,41088
MAJ01079,33130
MAJ01079,33230
MAJ01079,37252
MAJ01079,65111
MAJ01079,65202
MAJ01079,65212
MAJ01079,65306
MAJ01079,65307
MAJ01079,65409
MAJ01079,65411
MAJ01079,65508
MAJ01079,65509
MAJ01079,68075
MAJ01079,65001
MAJ01079,68101
MAJ01079,68201
MAJ01080,33130
MAJ01080,33230
MAJ01080,65111
MAJ01080,65212
MAJ01080,68101
MAJ01080,37336
MAJ01080,68201
MAJ01080,37252
MAJ01080,68075
MAJ01080,68412
MAJ01080,68206
MAJ01080,68413
MAJ01080,68606
MAJ01080,68416
MAJ01080,68316
MAJ01080,68414
MAJ01080,68320
MAJ01080,68513
MAJ01085,33130
MAJ01085,33230
MAJ01085,65111
MAJ01085,65212
MAJ01085,68101
MAJ01085,37336
MAJ01085,68201
MAJ01085,37252
MAJ01085,68075
MAJ01085,65307
MAJ01085,68206
MAJ01085,68413
MAJ01085,68606
MAJ01085,41039
MAJ01085,68414
MAJ01085,68513
MAJ01114,91161
MAJ01114,65111
MAJ01114,91400
MAJ01114,65212
MAJ01114,91314
MAJ01114,65202
MAJ01114,91401
MAJ01114,91707
MAJ01114,91320
MAJ01114,91148
MAJ01114,91239
MAJ01114,91193
MAJ01114,91195
MAJ01114,91194
MAJ01114,91563
MAJ01114,91180
MAJ01114,91705
MAJ01114,65001
MAJ01114,91709
MAJ01115,91161
MAJ01115,65111
MAJ01115,91400
MAJ01115,65212
MAJ01115,91320
MAJ01115,91314
MAJ01115,91132
MAJ01115,91142
MAJ01115,91401
MAJ01115,91369
MAJ01115,91368
MAJ01115,33116
MAJ01115,91707
MAJ01082,91107
MAJ01082,65111
MAJ01082,91123
MAJ01082,65621
MAJ01082,91154
MAJ01082,91132
MAJ01082,91100
MAJ01082,91168
MAJ01082,91161
MAJ01082,33116
MAJ01082,91145
MAJ01082,91309
MAJ01082,91121
MAJ01082,91159
MAJ01082,91116
MAJ01082,91120
MAJ01082,91270
MAJ01082,91155
MAJ01112,91107
MAJ01112,65111
MAJ01112,91123
MAJ01112,65621
MAJ01112,91154
MAJ01112,91157
MAJ01112,91120
MAJ01112,91161
MAJ01112,33116
